Platform,Attack,Layer,Defense,Attacker,Workload,ASR,DDR,FPR_D,PEP,ASupR,DOI
P1,A1_SIEM_Injection,Data,No Defense,Static,Low,0.702,0.0,0.0,0.0,0.546,1.0
P1,A1_SIEM_Injection,Data,No Defense,Static,Medium,0.754,0.0,0.0,0.0,0.578,1.05
P1,A1_SIEM_Injection,Data,No Defense,Static,High,0.83,0.0,0.0,0.0,0.626,1.11
P1,A1_SIEM_Injection,Data,No Defense,Defense_Aware,Low,0.8,0.0,0.0,0.0,0.608,1.0
P1,A1_SIEM_Injection,Data,No Defense,Defense_Aware,Medium,0.85,0.0,0.0,0.0,0.65,1.05
P1,A1_SIEM_Injection,Data,No Defense,Defense_Aware,High,0.912,0.0,0.0,0.0,0.68,1.11
P1,A1_SIEM_Injection,Data,No Defense,Adaptive,Low,0.88,0.0,0.0,0.0,0.66,1.0
P1,A1_SIEM_Injection,Data,No Defense,Adaptive,Medium,0.942,0.0,0.0,0.0,0.702,1.05
P1,A1_SIEM_Injection,Data,No Defense,Adaptive,High,0.986,0.0,0.0,0.0,0.726,1.11
P1,A1_SIEM_Injection,Data,D1_Input_Sanitization,Static,Low,0.564,0.206,0.05,0.0,0.436,1.08
P1,A1_SIEM_Injection,Data,D1_Input_Sanitization,Static,Medium,0.602,0.206,0.05,0.0,0.466,1.13
P1,A1_SIEM_Injection,Data,D1_Input_Sanitization,Static,High,0.646,0.206,0.052,0.0,0.492,1.19
P1,A1_SIEM_Injection,Data,D1_Input_Sanitization,Defense_Aware,Low,0.632,0.176,0.05,0.0,0.484,1.08
P1,A1_SIEM_Injection,Data,D1_Input_Sanitization,Defense_Aware,Medium,0.668,0.176,0.05,0.0,0.516,1.13
P1,A1_SIEM_Injection,Data,D1_Input_Sanitization,Defense_Aware,High,0.722,0.176,0.052,0.0,0.562,1.19
P1,A1_SIEM_Injection,Data,D1_Input_Sanitization,Adaptive,Low,0.698,0.132,0.05,0.0,0.544,1.08
P1,A1_SIEM_Injection,Data,D1_Input_Sanitization,Adaptive,Medium,0.766,0.132,0.05,0.0,0.584,1.13
P1,A1_SIEM_Injection,Data,D1_Input_Sanitization,Adaptive,High,0.828,0.132,0.052,0.0,0.634,1.19
P1,A1_SIEM_Injection,Data,D2_Tool_Attestation,Static,Low,0.54,0.184,0.014,0.0,0.388,1.06
P1,A1_SIEM_Injection,Data,D2_Tool_Attestation,Static,Medium,0.56,0.184,0.014,0.0,0.424,1.11
P1,A1_SIEM_Injection,Data,D2_Tool_Attestation,Static,High,0.61,0.184,0.014,0.0,0.46,1.17
P1,A1_SIEM_Injection,Data,D2_Tool_Attestation,Defense_Aware,Low,0.592,0.138,0.014,0.0,0.456,1.06
P1,A1_SIEM_Injection,Data,D2_Tool_Attestation,Defense_Aware,Medium,0.632,0.138,0.014,0.0,0.486,1.11
P1,A1_SIEM_Injection,Data,D2_Tool_Attestation,Defense_Aware,High,0.67,0.138,0.014,0.0,0.522,1.17
P1,A1_SIEM_Injection,Data,D2_Tool_Attestation,Adaptive,Low,0.658,0.092,0.014,0.0,0.512,1.06
P1,A1_SIEM_Injection,Data,D2_Tool_Attestation,Adaptive,Medium,0.702,0.092,0.014,0.0,0.544,1.11
P1,A1_SIEM_Injection,Data,D2_Tool_Attestation,Adaptive,High,0.774,0.092,0.014,0.0,0.592,1.17
P1,A1_SIEM_Injection,Data,D3_Response_Verification,Static,Low,0.556,0.172,0.026,0.0,0.414,1.1
P1,A1_SIEM_Injection,Data,D3_Response_Verification,Static,Medium,0.586,0.172,0.026,0.0,0.446,1.15
P1,A1_SIEM_Injection,Data,D3_Response_Verification,Static,High,0.63,0.172,0.03,0.0,0.484,1.21
P1,A1_SIEM_Injection,Data,D3_Response_Verification,Defense_Aware,Low,0.614,0.126,0.026,0.0,0.476,1.1
P1,A1_SIEM_Injection,Data,D3_Response_Verification,Defense_Aware,Medium,0.654,0.126,0.026,0.0,0.506,1.15
P1,A1_SIEM_Injection,Data,D3_Response_Verification,Defense_Aware,High,0.704,0.126,0.03,0.0,0.544,1.21
P1,A1_SIEM_Injection,Data,D3_Response_Verification,Adaptive,Low,0.684,0.08,0.026,0.0,0.536,1.1
P1,A1_SIEM_Injection,Data,D3_Response_Verification,Adaptive,Medium,0.732,0.08,0.026,0.0,0.564,1.15
P1,A1_SIEM_Injection,Data,D3_Response_Verification,Adaptive,High,0.81,0.08,0.03,0.0,0.61,1.21
P1,A1_SIEM_Injection,Data,D4_Agent_Isolation,Static,Low,0.562,0.146,0.016,0.0,0.434,1.07
P1,A1_SIEM_Injection,Data,D4_Agent_Isolation,Static,Medium,0.598,0.146,0.016,0.0,0.462,1.12
P1,A1_SIEM_Injection,Data,D4_Agent_Isolation,Static,High,0.652,0.146,0.018,0.0,0.496,1.18
P1,A1_SIEM_Injection,Data,D4_Agent_Isolation,Defense_Aware,Low,0.632,0.098,0.016,0.0,0.496,1.07
P1,A1_SIEM_Injection,Data,D4_Agent_Isolation,Defense_Aware,Medium,0.672,0.098,0.016,0.0,0.52,1.12
P1,A1_SIEM_Injection,Data,D4_Agent_Isolation,Defense_Aware,High,0.728,0.098,0.018,0.0,0.558,1.18
P1,A1_SIEM_Injection,Data,D4_Agent_Isolation,Adaptive,Low,0.7,0.054,0.016,0.0,0.552,1.07
P1,A1_SIEM_Injection,Data,D4_Agent_Isolation,Adaptive,Medium,0.752,0.054,0.016,0.0,0.584,1.12
P1,A1_SIEM_Injection,Data,D4_Agent_Isolation,Adaptive,High,0.834,0.054,0.018,0.0,0.638,1.18
P1,A1_SIEM_Injection,Data,D5_Consensus_Protocol,Static,Low,0.552,0.19,0.058,0.0,0.396,1.16
P1,A1_SIEM_Injection,Data,D5_Consensus_Protocol,Static,Medium,0.576,0.19,0.06,0.0,0.428,1.21
P1,A1_SIEM_Injection,Data,D5_Consensus_Protocol,Static,High,0.618,0.19,0.068,0.0,0.474,1.27
P1,A1_SIEM_Injection,Data,D5_Consensus_Protocol,Defense_Aware,Low,0.596,0.146,0.058,0.0,0.462,1.16
P1,A1_SIEM_Injection,Data,D5_Consensus_Protocol,Defense_Aware,Medium,0.634,0.146,0.06,0.0,0.49,1.21
P1,A1_SIEM_Injection,Data,D5_Consensus_Protocol,Defense_Aware,High,0.68,0.146,0.068,0.0,0.528,1.27
P1,A1_SIEM_Injection,Data,D5_Consensus_Protocol,Adaptive,Low,0.668,0.098,0.058,0.0,0.52,1.16
P1,A1_SIEM_Injection,Data,D5_Consensus_Protocol,Adaptive,Medium,0.72,0.098,0.06,0.0,0.548,1.21
P1,A1_SIEM_Injection,Data,D5_Consensus_Protocol,Adaptive,High,0.786,0.098,0.068,0.0,0.598,1.27
P1,A1_SIEM_Injection,Data,D6_Behavioral_Monitor,Static,Low,0.584,0.152,0.04,0.0,0.448,1.05
P1,A1_SIEM_Injection,Data,D6_Behavioral_Monitor,Static,Medium,0.622,0.152,0.042,0.0,0.48,1.1
P1,A1_SIEM_Injection,Data,D6_Behavioral_Monitor,Static,High,0.662,0.152,0.044,0.0,0.512,1.16
P1,A1_SIEM_Injection,Data,D6_Behavioral_Monitor,Defense_Aware,Low,0.65,0.102,0.04,0.0,0.502,1.05
P1,A1_SIEM_Injection,Data,D6_Behavioral_Monitor,Defense_Aware,Medium,0.688,0.102,0.042,0.0,0.538,1.1
P1,A1_SIEM_Injection,Data,D6_Behavioral_Monitor,Defense_Aware,High,0.754,0.102,0.044,0.0,0.578,1.16
P1,A1_SIEM_Injection,Data,D6_Behavioral_Monitor,Adaptive,Low,0.724,0.058,0.04,0.0,0.568,1.05
P1,A1_SIEM_Injection,Data,D6_Behavioral_Monitor,Adaptive,Medium,0.782,0.058,0.042,0.0,0.604,1.1
P1,A1_SIEM_Injection,Data,D6_Behavioral_Monitor,Adaptive,High,0.856,0.058,0.044,0.0,0.648,1.16
P1,A1_SIEM_Injection,Data,Bundle_D1_D3_D4_D6,Static,Low,0.356,0.29,0.084,0.0,0.262,1.26
P1,A1_SIEM_Injection,Data,Bundle_D1_D3_D4_D6,Static,Medium,0.41,0.29,0.084,0.0,0.302,1.31
P1,A1_SIEM_Injection,Data,Bundle_D1_D3_D4_D6,Static,High,0.466,0.29,0.09,0.0,0.332,1.37
P1,A1_SIEM_Injection,Data,Bundle_D1_D3_D4_D6,Defense_Aware,Low,0.444,0.248,0.084,0.0,0.322,1.26
P1,A1_SIEM_Injection,Data,Bundle_D1_D3_D4_D6,Defense_Aware,Medium,0.49,0.248,0.084,0.0,0.362,1.31
P1,A1_SIEM_Injection,Data,Bundle_D1_D3_D4_D6,Defense_Aware,High,0.526,0.248,0.09,0.0,0.404,1.37
P1,A1_SIEM_Injection,Data,Bundle_D1_D3_D4_D6,Adaptive,Low,0.522,0.21,0.084,0.0,0.392,1.26
P1,A1_SIEM_Injection,Data,Bundle_D1_D3_D4_D6,Adaptive,Medium,0.56,0.21,0.084,0.0,0.422,1.31
P1,A1_SIEM_Injection,Data,Bundle_D1_D3_D4_D6,Adaptive,High,0.608,0.21,0.09,0.0,0.462,1.37
P1,A1_SIEM_Injection,Data,Bundle_All,Static,Low,0.278,0.31,0.118,0.0,0.232,1.43
P1,A1_SIEM_Injection,Data,Bundle_All,Static,Medium,0.324,0.31,0.124,0.0,0.242,1.48
P1,A1_SIEM_Injection,Data,Bundle_All,Static,High,0.388,0.31,0.134,0.0,0.286,1.54
P1,A1_SIEM_Injection,Data,Bundle_All,Defense_Aware,Low,0.366,0.282,0.118,0.0,0.266,1.43
P1,A1_SIEM_Injection,Data,Bundle_All,Defense_Aware,Medium,0.416,0.282,0.124,0.0,0.3,1.48
P1,A1_SIEM_Injection,Data,Bundle_All,Defense_Aware,High,0.466,0.282,0.134,0.0,0.34,1.54
P1,A1_SIEM_Injection,Data,Bundle_All,Adaptive,Low,0.466,0.242,0.118,0.0,0.334,1.43
P1,A1_SIEM_Injection,Data,Bundle_All,Adaptive,Medium,0.486,0.242,0.124,0.0,0.366,1.48
P1,A1_SIEM_Injection,Data,Bundle_All,Adaptive,High,0.544,0.242,0.134,0.0,0.406,1.54
P1,A2_Alert_Crafting,Data,No Defense,Static,Low,0.672,0.0,0.0,0.0,0.522,1.0
P1,A2_Alert_Crafting,Data,No Defense,Static,Medium,0.71,0.0,0.0,0.0,0.552,1.05
P1,A2_Alert_Crafting,Data,No Defense,Static,High,0.778,0.0,0.0,0.0,0.59,1.11
P1,A2_Alert_Crafting,Data,No Defense,Defense_Aware,Low,0.75,0.0,0.0,0.0,0.574,1.0
P1,A2_Alert_Crafting,Data,No Defense,Defense_Aware,Medium,0.806,0.0,0.0,0.0,0.61,1.05
P1,A2_Alert_Crafting,Data,No Defense,Defense_Aware,High,0.872,0.0,0.0,0.0,0.656,1.11
P1,A2_Alert_Crafting,Data,No Defense,Adaptive,Low,0.844,0.0,0.0,0.0,0.642,1.0
P1,A2_Alert_Crafting,Data,No Defense,Adaptive,Medium,0.89,0.0,0.0,0.0,0.662,1.05
P1,A2_Alert_Crafting,Data,No Defense,Adaptive,High,0.962,0.0,0.0,0.0,0.714,1.11
P1,A2_Alert_Crafting,Data,D1_Input_Sanitization,Static,Low,0.542,0.244,0.05,0.0,0.4,1.08
P1,A2_Alert_Crafting,Data,D1_Input_Sanitization,Static,Medium,0.564,0.244,0.05,0.0,0.438,1.13
P1,A2_Alert_Crafting,Data,D1_Input_Sanitization,Static,High,0.616,0.244,0.052,0.0,0.476,1.19
P1,A2_Alert_Crafting,Data,D1_Input_Sanitization,Defense_Aware,Low,0.588,0.206,0.05,0.0,0.458,1.08
P1,A2_Alert_Crafting,Data,D1_Input_Sanitization,Defense_Aware,Medium,0.632,0.206,0.05,0.0,0.484,1.13
P1,A2_Alert_Crafting,Data,D1_Input_Sanitization,Defense_Aware,High,0.67,0.206,0.052,0.0,0.528,1.19
P1,A2_Alert_Crafting,Data,D1_Input_Sanitization,Adaptive,Low,0.658,0.172,0.05,0.0,0.506,1.08
P1,A2_Alert_Crafting,Data,D1_Input_Sanitization,Adaptive,Medium,0.7,0.172,0.05,0.0,0.544,1.13
P1,A2_Alert_Crafting,Data,D1_Input_Sanitization,Adaptive,High,0.772,0.172,0.052,0.0,0.596,1.19
P1,A2_Alert_Crafting,Data,D2_Tool_Attestation,Static,Low,0.482,0.214,0.014,0.0,0.354,1.06
P1,A2_Alert_Crafting,Data,D2_Tool_Attestation,Static,Medium,0.532,0.214,0.014,0.0,0.392,1.11
P1,A2_Alert_Crafting,Data,D2_Tool_Attestation,Static,High,0.566,0.214,0.014,0.0,0.426,1.17
P1,A2_Alert_Crafting,Data,D2_Tool_Attestation,Defense_Aware,Low,0.556,0.188,0.014,0.0,0.414,1.06
P1,A2_Alert_Crafting,Data,D2_Tool_Attestation,Defense_Aware,Medium,0.59,0.188,0.014,0.0,0.442,1.11
P1,A2_Alert_Crafting,Data,D2_Tool_Attestation,Defense_Aware,High,0.636,0.188,0.014,0.0,0.484,1.17
P1,A2_Alert_Crafting,Data,D2_Tool_Attestation,Adaptive,Low,0.62,0.142,0.014,0.0,0.48,1.06
P1,A2_Alert_Crafting,Data,D2_Tool_Attestation,Adaptive,Medium,0.654,0.142,0.014,0.0,0.512,1.11
P1,A2_Alert_Crafting,Data,D2_Tool_Attestation,Adaptive,High,0.71,0.142,0.014,0.0,0.542,1.17
P1,A2_Alert_Crafting,Data,D3_Response_Verification,Static,Low,0.526,0.206,0.026,0.0,0.38,1.1
P1,A2_Alert_Crafting,Data,D3_Response_Verification,Static,Medium,0.556,0.206,0.026,0.0,0.412,1.15
P1,A2_Alert_Crafting,Data,D3_Response_Verification,Static,High,0.592,0.206,0.03,0.0,0.456,1.21
P1,A2_Alert_Crafting,Data,D3_Response_Verification,Defense_Aware,Low,0.58,0.172,0.026,0.0,0.44,1.1
P1,A2_Alert_Crafting,Data,D3_Response_Verification,Defense_Aware,Medium,0.618,0.172,0.026,0.0,0.472,1.15
P1,A2_Alert_Crafting,Data,D3_Response_Verification,Defense_Aware,High,0.66,0.172,0.03,0.0,0.504,1.21
P1,A2_Alert_Crafting,Data,D3_Response_Verification,Adaptive,Low,0.646,0.132,0.026,0.0,0.5,1.1
